Title,Release Year,RT_score,URL,Director,Cast
When You Finish Saving the World,2022,62%,https://www.rottentomatoes.com/m/when_you_finish_saving_the_world,Jesse Eisenberg,"Julianne Moore,Finn Wolfhard,Billy Bryk,Alisha Boe"
Son of a Gun,2014,62%,https://www.rottentomatoes.com/m/son_of_a_gun_2015,Julius Avery,"Brenton Thwaites,Ewan McGregor,Alicia Vikander,Matt Nable"
The Bling Ring,2013,60%,https://www.rottentomatoes.com/m/the_bling_ring_2013,Sofia Coppola,"Israel Broussard,Katie Chang,Taissa Farmiga,Claire Julien"
Under the Silver Lake,2018,59%,https://www.rottentomatoes.com/m/under_the_silver_lake,David Robert Mitchell,"Andrew Garfield,Riley Keough,Topher Grace,Patrick Fischler"
Woman Walks Ahead,2017,59%,https://www.rottentomatoes.com/m/woman_walks_ahead,Susanna White,"Jessica Chastain,Michael Greyeyes,Ciarán Hinds,Sam Rockwell"
The Last Movie Star,2017,59%,https://www.rottentomatoes.com/m/the_last_movie_star,Adam Rifkin,"Burt Reynolds,Ariel Winter,Chevy Chase,Clark Duke"
Trespass Against Us,2016,57%,https://www.rottentomatoes.com/m/trespass_against_us_2017,Adam Smith,"Michael Fassbender,Brendan Gleeson,Sean Harris,Lyndsey Marshal"
Slice,2018,52%,https://www.rottentomatoes.com/m/slice_2018,Austin Vesely,"Zazie Beetz,Chance the Rapper,Rae Gray,Marilyn Dodds Frank"
How to Talk to Girls at Parties,2017,48%,https://www.rottentomatoes.com/m/how_to_talk_to_girls_at_parties,John Cameron Mitchell,"Elle Fanning,Alex Sharp,Nicole Kidman,Ruth Wilson"
Tusk,2014,46%,https://www.rottentomatoes.com/m/tusk_2014,Kevin Smith,"Michael Parks,Justin Long,Haley Joel Osment,Genesis Rodriguez"
Life After Beth,2014,45%,https://www.rottentomatoes.com/m/life_after_beth,Jeff Baena,"Aubrey Plaza,Dane DeHaan,John C. Reilly,Molly Shannon"
Hot Summer Nights,2017,44%,https://www.rottentomatoes.com/m/hot_summer_nights,Elijah Bynum,"Timothée Chalamet,Alex Roe,Maika Monroe,Maia Mitchell"
Backstabbing for Beginners,2018,39%,https://www.rottentomatoes.com/m/backstabbing_for_beginners,Per Fly,"Ben Kingsley,Theo James,Jacqueline Bisset,Belçim Bilgin"
Cut Bank,2014,37%,https://www.rottentomatoes.com/m/cut_bank,Matt Shakman,"Liam Hemsworth,Teresa Palmer,John Malkovich,Billy Bob Thornton"
