,Title,Release Year,Rating,URL,Director,Cast,Audience Score,Genre,Duration,Box Office,Production Co
70,Waves,2019,R (Drug and Alcohol Use|Brief Violence|Language Throughout|Some Sexual Content),https://www.rottentomatoes.com/m/waves_2019,Trey Edward Shults,"Kelvin Harrison Jr.,Taylor Russell,Sterling K. Brown,Lucas Hedges",81,Drama,2h15m,$1.7M,
71,Oasis: Supersonic,2016,R (Some Drug Material|Pervasive Language),https://www.rottentomatoes.com/m/oasis_supersonic,Mat Whitecross,"Noel Gallagher,Liam Gallagher,Paul Arthurs,Mark Coyle",87,Documentary/Music,1h57m,$226.3K,"Nemperor, 
                            
                            Mint Pictures, 
                            
                            Lorton Entertainment, 
                            
                            On the Corner Films Limited"
72,Priscilla,2023,R (Drug Use and Some Language),https://www.rottentomatoes.com/m/priscilla,Sofia Coppola,"Cailee Spaeny,Jacob Elordi,Dagmara Domińczyk,Raine Monroe Boland",63,Drama/Romance,1h53m,$20.2M,"The Apartment, 
                            
                            American Zoetrope"
73,While We're Young,2014,R (Language),https://www.rottentomatoes.com/m/while_were_young,Noah Baumbach,"Ben Stiller,Naomi Watts,Adam Driver,Amanda Seyfried",51,Comedy/Drama,1h34m,$7.6M,IACF Films
74,Midsommar,2019,,https://www.rottentomatoes.com/m/midsommar,Ari Aster,"Florence Pugh,Jack Reynor,William Jackson Harper,Will Poulter",,,,,
75,The Hole in the Ground,2019,R (Some Disturbing Images),https://www.rottentomatoes.com/m/the_hole_in_the_ground,Lee Cronin,"Seána Kerslake,James Quinn Markey,James Cosmo,Kati Outinen",48,Horror/Mystery&thriller,1h30m,,"Metrol Technology, 
                            
                            Savage Productions, 
                            
                            Head Gear Films, 
                            
                            Bankside Films, 
                            
                            Wrong Men North"
76,Funny Pages,2022,R (Graphic Nudity|Crude Sexual Content|Brief Violent Images|Language),https://www.rottentomatoes.com/m/funny_pages,Owen Kline,"Daniel Zolghadri,Matt Maher,Miles Emanuel,Maria Dizzia",51,Comedy,1h26m,$49.0K,Elara Pictures
77,High Life,2018,R (Disturbing Violent Content|Disturbing Sexual Content|Graphic Nudity|Language|Sexual Assault),https://www.rottentomatoes.com/m/high_life_2019,Claire Denis,"Robert Pattinson,Juliette Binoche,André Benjamin,Mia Goth",42,Sci-fi/Mystery&thriller,1h53m,$1.2M,"Pandora Filmproduktion, 
                            
                            arte France Cinéma, 
                            
                            A24, 
                            
                            Andrew Lauren Productions, 
                            
                            Arte, 
                            
                            Alcatraz Films, 
                            
                            BFI Film Fund, 
                            
                            Madants"
78,The Lovers,2017,R (Sexuality and Language),https://www.rottentomatoes.com/m/the_lovers_2017,Azazel Jacobs,"Debra Winger,Tracy Letts,Melora Walters,Aidan Gillen",42,Romance/Comedy,1h34m,$2.2M,A24
79,Mid90s,2018,R (Drug and Alcohol Use|Disturbing Images|Pervasive Language|Sexual Content|Some Violent Behavior),https://www.rottentomatoes.com/m/mid90s,Jonah Hill,"Sunny Suljic,Lucas Hedges,Na-kel Smith,Gio Galicia",81,Comedy/Drama,1h24m,$7.4M,"A24, 
                            
                            Waypoint Entertainment"
80,American Honey,2016,R (Graphic Nudity|Drug/Alcohol Abuse|Language Throughout|Strong Sexual Content),https://www.rottentomatoes.com/m/american_honey,Andrea Arnold,"Sasha Lane,Riley Keough,Shia LaBeouf,McCaul Lombardi",63,Comedy/Drama,2h42m,$662.8K,"Parts & Labor, 
                            
                            Pulse Films"
81,The Monster,2016,R (Language|Some Violence/Terror),https://www.rottentomatoes.com/m/the_monster_2016,Bryan Bertino,"Zoe Kazan,Scott Speedman,Ella Ballentine,Aaron Douglas",40,Horror/Mystery&thriller,1h31m,$12.1K,Atlas Independent
82,The Killing of a Sacred Deer,2017,R (Disturbing Violent Content|Disturbing Sexual Content|Language|Some Graphic Nudity),https://www.rottentomatoes.com/m/the_killing_of_a_sacred_deer,Yorgos Lanthimos,"Bill Camp,Raffey Cassidy,Denise Dal Vera,Colin Farrell",63,Mystery&thriller/Horror,2h1m,$2.3M,Element Pictures
83,Ginger & Rosa,2012,PG-13 (Drinking|Disturbing Thematic Material|Smoking|Involving Teen Choices|Language|Sexuality),https://www.rottentomatoes.com/m/ginger_and_rosa,Sally Potter,"Elle Fanning,Alice Englert,Alessandro Nivola,Christina Hendricks",50,Drama/Lgbtq+,1h30m,$1.0M,"Det Danske Filminstitut, 
                            
                            Adventure Pictures, 
                            
                            British Film Institute, 
                            
                            BBC Films, 
                            
                            Miso Film"
84,Skin,2018,R (Disturbing Violent Content|Brief Drug Use|Pervasive Language|Some Sexuality),https://www.rottentomatoes.com/m/skin,Guy Nattiv,"Jamie Bell,Danielle Macdonald,Daniel Henshall,Bill Camp",83,Biography/Drama,1h58m,,"Lost Lane Entertainment, 
                            
                            Brookstreet Pictures, 
                            
                            Come What May Productions, 
                            
                            PaperChase Films, 
                            
                            A24, 
                            
                            The Searchers NV, 
                            
                            TUGAWOOD Pictures, 
                            
                            Sight Unseen Pictures, 
                            
                            Maven Pictures, 
                            
                            Hua Wen Movie Group, 
                            
                            Code Entertainment, 
                            
                            Item 7"
85,Never Goin' Back,2018,R (Drug Use|All Involving Teens|Crude Sexual Content|Brief Nudity|Language Throughout),https://www.rottentomatoes.com/m/never_goin_back,Augustine Frizzell,"Maia Mitchell,Camila Morrone,Kyle Mooney,Joel Allen",64,Comedy,1h26m,$61.1K,Sailor Bear
86,Into the Forest,2015,R (Language|A Scene of Violence|Rape|Some Sexuality/Nudity),https://www.rottentomatoes.com/m/into_the_forest,Patricia Rozema,"Elliot Page,Evan Rachel Wood,Max Minghella,Callum Keith Rennie",43,Mystery&thriller/Drama,1h41m,$6.4K,"BRON Studios, 
                            
                            Rhombus Media"
87,The Blackcoat's Daughter,2015,R (Brutal Bloody Violence|Brief Strong Language),https://www.rottentomatoes.com/m/the_blackcoats_daughter,Oz Perkins,"Emma Roberts,Kiernan Shipka,Lucy Boynton,James Remar",51,Horror/Mystery&thriller,1h33m,$20.0K,"Zed Filmworks, 
                            
                            120dB Films"
88,The Exception,2016,R (Graphic Nudity|Brief Violence|Language|Sexuality),https://www.rottentomatoes.com/m/the_exception,David Leveaux,"Lily James,Jai Courtney,Christopher Plummer,Eddie Marsan",67,History/Drama,1h47m,$708.0K,Ostar Productions
